New_ID,background,type,eyes,mouth,headphones,4:20 watch,hat under headphones,shirt,smoke,long hair,short hair,beard,hat over headphones,chain,1-Jan
0,None,-,None,None,None,None,None,None,None,None,None,None,None,None,ToadMfer
1,red,charcoal mfer,NerdGlas,smile,WhitHead,SubRed,BandDarkGray,CollShirBlue,None,None,None,None,None,None,None
2,red,charcoal mfer,ReguEyes,smile,PinkHead,None,KnitDall,None,None,None,None,None,None,None,None
3,red,plain mfer,ReguEyes,smile,BlacHead,None,KnitBuff,None,CigBlac,None,None,None,None,None,None
4,blue,charcoal mfer,ReguEyes,smile,BlacHead,SubLant(Gre,HeadBlueWhit,HoodDownGray,None,LongHairYell,None,None,None,None,None
5,orange,plain mfer,vr,smile,BlacHead,ArgoBlac,None,HoodDownGray,CigWhit,None,MessRed,None,None,None,None
6,orange,plain mfer,shades,smile,PinkHead,None,BandDarkGray,None,CigWhit,LongHairBlac,None,None,None,None,None
7,green,plain mfer,ReguEyes,smile,WhitHead,SubLant(Gre,None,None,CigWhit,None,MohaBlue,None,None,None,None
8,red,plain mfer,ReguEyes,smile,WhitHead,OystSilv,None,HoodDownGray,None,None,None,FullBear,None,None,None
9,orange,plain mfer,ReguEyes,smile,PinkHead,SubLant(Gre,None,None,CigBlac,LongHairBlac,None,None,None,None,None
10,orange,charcoal mfer,ReguEyes,smile,PinkHead,SubBat(BluBlac,HeadGreeWhit,None,CigBlac,LongHairBlac,None,None,None,None,None
11,orange,plain mfer,NerdGlas,smile,WhitHead,SubRed,None,CollShirBlue,None,None,None,None,None,None,None
12,graveyard,zombie mfer,ZombEyes,smile,WhitHead,SubRed,beanie,None,CigBlac,None,None,FullBear,None,None,None
13,orange,charcoal mfer,ReguEyes,smile,BlacHead,SubBlac,None,CollShirWhit,CigWhit,None,MohaGree,None,None,None,None
14,yellow,charcoal mfer,ReguEyes,smile,WhitHead,OystSilv,None,None,CigBlac,None,MohaPink,None,None,None,None
15,orange,charcoal mfer,NerdGlas,smile,BlacHead,SubBlac,None,HoodDownGray,CigWhit,None,None,FullBear,CowbHat,None,None
16,orange,plain mfer,ReguEyes,smile,BlacHead,SubBlue,None,None,CigWhit,None,None,FullBear,None,None,None
17,orange,plain mfer,ReguEyes,smile,GoldHead,SubBlac,KnitKc,None,CigWhit,LongHairBlac,None,None,None,None,None
18,red,plain mfer,ReguEyes,smile,BlueHead,SubRed,None,None,CigBlac,None,None,None,None,None,None
19,red,plain mfer,ReguEyes,smile,GoldHead,SubBlue,None,None,None,None,None,None,None,None,None
20,yellow,plain mfer,ReguEyes,smile,BlacHead,SubRed,None,HoodDownWhit,CigWhit,None,None,None,None,None,None
21,red,plain mfer,ReguEyes,smile,BlacHead,OystSilv,KnitClev,CollShirWhit,CigBlac,None,None,None,None,None,None
22,orange,plain mfer,ReguEyes,smile,PinkHead,SubBlue,None,HoodDownGray,CigWhit,None,MohaBlac,None,None,None,None
23,green,plain mfer,PurpShad,smile,WhitHead,SubLant(Gre,KnitPitt,None,CigWhit,None,None,None,None,None,None
24,yellow,plain mfer,ReguEyes,smile,BlacHead,SubBlac,None,HoodDownGray,CigBlac,None,None,None,None,None,None
25,yellow,plain mfer,ReguEyes,smile,PinkHead,None,None,CollShirBlue,CigWhit,LongHairBlac,None,FullBear,None,None,None
26,yellow,charcoal mfer,ReguEyes,flat,BlacHead,OystGold,KnitAtla,None,CigWhit,None,None,None,None,SilvChai,None
27,yellow,plain mfer,ReguEyes,smile,GreeHead,OystSilv,BandRed,CollShirGree,None,LongHairBlac,None,None,None,None,None
28,red,plain mfer,3DGlas,flat,BlacHead,SubRose,None,CollShirGree,CigBlac,None,MohaBlac,None,None,None,None
29,red,charcoal mfer,ReguEyes,smile,BlacHead,OystSilv,None,None,CigWhit,None,None,None,CowbHat,None,None
30,yellow,charcoal mfer,shades,smile,BlacHead,SubRed,BandRed,None,CigBlac,None,None,None,None,None,None
31,orange,plain mfer,3DGlas,smile,WhitHead,SubBlac,None,None,pipe,LongHairBlac,None,None,None,None,None
32,orange,plain mfer,ReguEyes,flat,BlacHead,None,None,CollShirBlue,pipe,None,None,None,None,None,None
33,yellow,plain mfer,ReguEyes,smile,BlacHead,SubLant(Gre,BandDarkGray,CollShirBlue,CigWhit,None,None,None,None,None,None
34,yellow,plain mfer,ReguEyes,smile,BlacHead,OystGold,None,HoodDownWhit,CigWhit,None,None,None,None,None,None
35,orange,charcoal mfer,ReguEyes,smile,RedHead,SubRed,None,CollShirWhit,None,LongHairBlac,None,None,None,None,None
36,red,charcoal mfer,ReguEyes,smile,BlacHead,None,None,None,CigWhit,None,None,None,None,SilvChai,None
37,blue,charcoal mfer,ReguEyes,flat,BlacHead,SubBlac,None,None,CigWhit,None,MohaBlac,None,None,None,None
38,blue,plain mfer,shades,smile,PinkHead,SubTurq,HeadBlueWhit,None,CigBlac,None,None,None,None,None,None
39,blue,plain mfer,ReguEyes,smile,PinkHead,None,None,None,None,None,None,FullBear,None,None,None
40,red,plain mfer,ReguEyes,smile,WhitHead,SubBlac,KnitChic,CollShirWhit,CigWhit,None,None,FullBear,None,None,None
41,red,plain mfer,ReguEyes,smile,GreeHead,SubRose,KnitBalt,None,CigBlac,None,None,None,None,None,None
42,red,plain mfer,ReguEyes,smile,WhitHead,None,None,None,pipe,None,None,None,None,None,None
43,blue,plain mfer,ReguEyes,flat,GoldHead,SubRed,None,HoodDownGree,None,None,MohaBlac,None,None,None,None
44,yellow,charcoal mfer,ReguEyes,smile,BlacHead,SubBat(BluBlac,CapMono,CollShirWhit,None,None,None,None,None,None,None
45,orange,plain mfer,ReguEyes,smile,WhitHead,SubBlac,HeadBlueWhit,CollShirWhit,CigWhit,None,None,None,None,None,None
46,yellow,charcoal mfer,NerdGlas,smile,BlueHead,OystSilv,None,HoodDownGray,CigBlac,LongHairBlac,None,None,None,None,None
47,yellow,plain mfer,vr,smile,BlacHead,None,None,None,None,None,None,None,None,None,None
48,red,charcoal mfer,ReguEyes,smile,BlacHead,OystGold,HeadGreeWhit,None,CigWhit,None,None,None,None,None,None
49,yellow,charcoal mfer,ReguEyes,flat,WhitHead,SubBat(BluBlac,None,CollShirWhit,CigBlac,None,None,None,None,None,None
50,orange,charcoal mfer,ReguEyes,flat,GreeHead,SubBlue,None,None,None,LongHairBlac,None,None,None,None,None
51,blue,charcoal mfer,ReguEyes,smile,WhitHead,SubLant(Gre,None,HoodDownGray,CigBlac,None,MessYell,None,None,None,None
52,yellow,plain mfer,PurpShad,smile,BlacHead,None,None,HoodDownWhit,CigWhit,None,MohaPink,None,None,None,None
53,red,plain mfer,ReguEyes,smile,BlacHead,None,None,None,CigBlac,None,MohaGree,None,None,None,None
54,green,charcoal mfer,ReguEyes,smile,BlacHead,SubBlac,KnitAtla,HoodDownGree,CigBlac,None,None,None,None,None,None
55,orange,charcoal mfer,ReguEyes,smile,RedHead,SubRed,None,None,CigBlac,None,MohaBlac,None,None,None,None
56,orange,charcoal mfer,ReguEyes,smile,WhitHead,None,None,None,CigBlac,None,None,FullBear,None,None,None
57,orange,charcoal mfer,ReguEyes,smile,BlacHead,OystSilv,HeadBlueWhit,None,CigBlac,None,None,None,None,None,None
58,red,charcoal mfer,ReguEyes,smile,WhitHead,None,KnitPitt,HoodDownGray,CigWhit,None,None,None,None,None,None
59,blue,plain mfer,3DGlas,smile,GreeHead,SubBlac,None,None,CigBlac,None,None,None,None,None,None
60,red,charcoal mfer,ReguEyes,smile,PinkHead,None,None,None,CigBlac,LongHairYell,None,None,None,None,None
61,orange,charcoal mfer,shades,smile,RedHead,SubBlac,None,HoodDownBlue,CigBlac,LongHairBlac,None,None,None,None,None
62,orange,plain mfer,PurpShad,smile,BlacHead,SubBlue,None,None,CigBlac,None,None,None,None,SilvChai,None
63,green,charcoal mfer,shades,flat,WhitHead,SubLant(Gre,None,None,None,LongHairYell,None,None,None,None,None
64,green,charcoal mfer,ReguEyes,flat,BlacHead,OystGold,KnitDall,HoodDownPink,CigWhit,None,None,None,None,None,None
65,orange,plain mfer,ReguEyes,flat,BlacHead,SubBat(BluBlac,KnitSanFran,None,CigBlac,None,None,None,None,None,None
66,orange,plain mfer,NerdGlas,flat,GreeHead,SubBlac,None,None,CigBlac,None,None,FullBear,TopHat,None,None
67,blue,plain mfer,EyeMask,smile,GreeHead,OystSilv,None,CollShirYell,CigWhit,LongHairBlac,None,None,None,None,None
68,green,plain mfer,ReguEyes,smile,BlacHead,None,None,HoodDownGray,CigWhit,None,MohaGree,None,None,None,None
69,orange,charcoal mfer,ReguEyes,smile,BlacHead,SubBlac,None,None,CigWhit,None,MohaBlue,None,None,None,None
70,green,charcoal mfer,PurpShad,flat,BlacHead,None,None,None,None,None,None,None,None,None,None
71,orange,plain mfer,ReguEyes,smile,WhitHead,SubRed,None,None,CigBlac,LongHairYell,None,None,None,None,None
72,orange,plain mfer,shades,smile,RedHead,SubBlac,None,HoodDownWhit,CigBlac,LongHairBlac,None,None,None,None,None
73,green,plain mfer,ReguEyes,flat,WhitHead,SubBat(BluBlac,None,CollShirBlue,CigWhit,None,None,None,None,None,None
74,red,plain mfer,ReguEyes,smile,BlacHead,SubRed,None,HoodDownGree,CigWhit,None,MessPurp,None,None,None,None
75,orange,plain mfer,ReguEyes,smile,BlacHead,SubRose,None,HoodDownGray,CigWhit,None,None,None,None,None,None
76,blue,plain mfer,shades,smile,GreeHead,SubBlac,None,None,pipe,LongHairBlac,None,None,None,None,None
77,red,plain mfer,ReguEyes,smile,BlacHead,SubBlac,HeadBlueWhit,CollShirBlue,None,None,None,None,None,None,None
78,yellow,charcoal mfer,ReguEyes,smile,GreeHead,OystSilv,BandDarkGray,None,None,None,None,None,None,None,None
79,red,charcoal mfer,ReguEyes,smile,GreeHead,None,None,HoodDownGree,CigBlac,None,None,None,None,None,None
80,orange,charcoal mfer,ReguEyes,smile,RedHead,SubRed,None,HoodDownRed,None,None,None,None,None,None,None
81,yellow,plain mfer,ReguEyes,smile,PinkHead,SubRed,HeadPinkWhit,CollShirBlue,CigWhit,None,None,None,None,None,None
82,orange,plain mfer,ReguEyes,smile,PinkHead,SubBlac,KnitMiam,None,CigWhit,None,None,None,None,None,None
83,red,charcoal mfer,ReguEyes,flat,BlueHead,SubBlue,None,CollShirTurq,CigBlac,None,None,None,TopHat,None,None
84,orange,plain mfer,ReguEyes,flat,BlacHead,None,KnitBalt,None,CigWhit,None,None,None,None,None,None
85,green,plain mfer,PurpShad,smile,GreeHead,ArgoWhit,None,CollShirBlue,CigBlac,LongHairYell,None,None,None,None,None
86,yellow,plain mfer,ReguEyes,smile,WhitHead,SubRed,beanie,None,CigWhit,LongHairBlac,None,None,None,None,None
87,orange,charcoal mfer,ReguEyes,flat,GreeHead,None,BandDarkGray,CollShirYell,None,None,None,None,None,None,None
88,red,plain mfer,ReguEyes,smile,BlacHead,SubBlac,beanie,None,CigWhit,LongHairYell,None,None,None,None,None
89,green,charcoal mfer,ReguEyes,smile,PinkHead,SubBlac,None,CollShirWhit,CigWhit,None,None,None,None,None,None
90,green,plain mfer,3DGlas,smile,WhitHead,None,None,CollShirPink,CigBlac,None,MohaPink,None,None,None,None
91,blue,charcoal mfer,ReguEyes,flat,BlacHead,SubBlac,KnitAtla,CollShirBlue,CigBlac,LongHairYell,None,None,None,None,None
92,red,plain mfer,ReguEyes,smile,BlueHead,None,None,None,CigWhit,LongHairBlac,None,None,None,None,None
93,blue,plain mfer,NerdGlas,smile,GreeHead,SubTurq,None,None,CigBlac,None,None,FullBear,None,None,None
94,orange,plain mfer,ReguEyes,flat,GreeHead,OystGold,None,None,CigBlac,None,None,None,None,None,None
95,green,plain mfer,shades,smile,BlacHead,SubCola(BluRed),None,None,None,None,MessPurp,None,None,None,None
96,yellow,plain mfer,ReguEyes,flat,WhitHead,SubBlac,CapPurp,None,CigBlac,LongHairBlac,None,None,None,SilvChai,None
97,red,plain mfer,ReguEyes,smile,BlacHead,SubBlac,None,None,pipe,None,None,FullBear,None,None,None
98,green,plain mfer,ReguEyes,smile,PinkHead,SubTurq,None,CollShirBlue,CigWhit,None,None,None,None,None,None
99,orange,charcoal mfer,vr,smile,RedHead,SubRed,None,CollShirBlue,CigWhit,None,None,None,None,None,None
100,yellow,plain mfer,NerdGlas,smile,BlacHead,None,None,HoodDownGray,CigWhit,None,MohaBlac,None,None,None,None
101,yellow,charcoal mfer,ReguEyes,smile,BlacHead,SubBlue,None,HoodDownPink,CigBlac,None,None,None,None,None,None
102,yellow,plain mfer,ReguEyes,flat,BlacHead,None,None,HoodDownGray,None,None,MohaGree,None,None,None,None
103,blue,plain mfer,ReguEyes,flat,GreeHead,OystSilv,BandBlue,CollShirPink,None,LongHairBlac,None,None,None,None,None
104,red,plain mfer,ReguEyes,smile,GoldHead,None,None,CollShirYell,CigBlac,None,None,None,CowbHat,None,None
105,red,plain mfer,ReguEyes,smile,GoldHead,SubBlac,HeadGreeWhit,CollShirWhit,CigBlac,None,None,None,None,None,None
106,blue,plain mfer,ReguEyes,flat,BlacHead,SubTurq,KnitBuff,CollShirGree,CigBlac,LongHairYell,None,None,None,None,None
107,blue,plain mfer,ReguEyes,smile,BlueHead,SubTurq,None,HoodDownBlue,CigBlac,None,None,FullBear,None,None,None
108,green,plain mfer,vr,smile,BlacHead,SubRed,None,CollShirPink,CigBlac,None,MohaPink,None,None,None,None
109,red,plain mfer,3DGlas,smile,WhitHead,None,None,CollShirTurq,None,None,MohaYell,None,None,None,None
110,green,plain mfer,ReguEyes,smile,PinkHead,SubBlac,None,HoodDownWhit,CigBlac,None,None,None,None,None,None
111,red,plain mfer,shades,smile,WhitHead,SubBlac,None,None,CigBlac,None,None,FullBear,None,None,None
112,yellow,plain mfer,PurpShad,smile,PinkHead,OystSilv,None,CollShirTurq,pipe,None,None,None,CowbHat,None,None
113,red,plain mfer,ReguEyes,smile,BlacHead,ArgoBlac,BandBlue,None,pipe,None,None,None,None,None,None
114,red,plain mfer,ReguEyes,flat,BlueHead,SubTurq,None,None,CigBlac,None,None,FullBear,None,None,None
115,yellow,plain mfer,ReguEyes,smile,BlacHead,SubRed,None,CollShirPink,CigWhit,None,None,None,None,None,None
